Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.33844707855110057
75% Corpus,2,0.01,0.31,0.3663598177447783
75% Corpus,2,0.01,0.61,0.38963010994701847
75% Corpus,2,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,2,0.01,symmetric,0.34617136950464544
75% Corpus,2,0.31,0.01,0.31869025677115365
75% Corpus,2,0.31,0.31,0.33946095606014826
75% Corpus,2,0.31,0.61,0.37104320163655086
75% Corpus,2,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,2,0.31,symmetric,0.3476016242323842
75% Corpus,2,0.61,0.01,0.3287078102668879
75% Corpus,2,0.61,0.31,0.3357672274263264
75% Corpus,2,0.61,0.61,0.3313989078333992
75% Corpus,2,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,2,0.61,symmetric,0.36943802750364324
75% Corpus,2,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,2,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,2,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,2,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,2,symmetric,0.01,0.3339941724912089
75% Corpus,2,symmetric,0.31,0.3618199452311198
75% Corpus,2,symmetric,0.61,0.3847847949630093
75% Corpus,2,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,2,symmetric,symmetric,0.34622108828264303
75% Corpus,2,asymmetric,0.01,0.31439351372748586
75% Corpus,2,asymmetric,0.31,0.3407912732977284
75% Corpus,2,asymmetric,0.61,0.4122234345058698
75% Corpus,2,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,2,asymmetric,symmetric,0.31963216614801654
75% Corpus,3,0.01,0.01,0.33844707855110057
75% Corpus,3,0.01,0.31,0.3663598177447783
75% Corpus,3,0.01,0.61,0.38963010994701847
75% Corpus,3,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,3,0.01,symmetric,0.34617136950464544
75% Corpus,3,0.31,0.01,0.31869025677115365
75% Corpus,3,0.31,0.31,0.33946095606014826
75% Corpus,3,0.31,0.61,0.37104320163655086
75% Corpus,3,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,3,0.31,symmetric,0.3476016242323842
75% Corpus,3,0.61,0.01,0.3287078102668879
75% Corpus,3,0.61,0.31,0.3357672274263264
75% Corpus,3,0.61,0.61,0.3313989078333992
75% Corpus,3,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,3,0.61,symmetric,0.36943802750364324
75% Corpus,3,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,3,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,3,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,3,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,3,symmetric,0.01,0.3339941724912089
75% Corpus,3,symmetric,0.31,0.3618199452311198
75% Corpus,3,symmetric,0.61,0.3847847949630093
75% Corpus,3,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,3,symmetric,symmetric,0.34622108828264303
75% Corpus,3,asymmetric,0.01,0.31439351372748586
75% Corpus,3,asymmetric,0.31,0.3407912732977284
75% Corpus,3,asymmetric,0.61,0.4122234345058698
75% Corpus,3,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,3,asymmetric,symmetric,0.31963216614801654
75% Corpus,4,0.01,0.01,0.33844707855110057
75% Corpus,4,0.01,0.31,0.3663598177447783
75% Corpus,4,0.01,0.61,0.38963010994701847
75% Corpus,4,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,4,0.01,symmetric,0.34617136950464544
75% Corpus,4,0.31,0.01,0.31869025677115365
75% Corpus,4,0.31,0.31,0.33946095606014826
75% Corpus,4,0.31,0.61,0.37104320163655086
75% Corpus,4,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,4,0.31,symmetric,0.3476016242323842
75% Corpus,4,0.61,0.01,0.3287078102668879
75% Corpus,4,0.61,0.31,0.3357672274263264
75% Corpus,4,0.61,0.61,0.3313989078333992
75% Corpus,4,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,4,0.61,symmetric,0.36943802750364324
75% Corpus,4,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,4,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,4,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,4,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,4,symmetric,0.01,0.3339941724912089
75% Corpus,4,symmetric,0.31,0.3618199452311198
75% Corpus,4,symmetric,0.61,0.3847847949630093
75% Corpus,4,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,4,symmetric,symmetric,0.34622108828264303
75% Corpus,4,asymmetric,0.01,0.31439351372748586
75% Corpus,4,asymmetric,0.31,0.3407912732977284
75% Corpus,4,asymmetric,0.61,0.4122234345058698
75% Corpus,4,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,4,asymmetric,symmetric,0.31963216614801654
75% Corpus,5,0.01,0.01,0.33844707855110057
75% Corpus,5,0.01,0.31,0.3663598177447783
75% Corpus,5,0.01,0.61,0.38963010994701847
75% Corpus,5,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,5,0.01,symmetric,0.34617136950464544
75% Corpus,5,0.31,0.01,0.31869025677115365
75% Corpus,5,0.31,0.31,0.33946095606014826
75% Corpus,5,0.31,0.61,0.37104320163655086
75% Corpus,5,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,5,0.31,symmetric,0.3476016242323842
75% Corpus,5,0.61,0.01,0.3287078102668879
75% Corpus,5,0.61,0.31,0.3357672274263264
75% Corpus,5,0.61,0.61,0.3313989078333992
75% Corpus,5,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,5,0.61,symmetric,0.36943802750364324
75% Corpus,5,0.9099999999999999,0.01,0.3377236116693265
